wine_code,wine_name,img_url,badge,sugar_content,acidity,body,tannin,producer,nation,production_area,main_varieties
170372,"칠라노, 그랑 레세르바 카베르네 소비뇽",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170372.png,레드,1,4,4,4,칠라노 Chilano,칠레(Chile),센트럴밸리(CentralValley),"카베르네 소비뇽 (Cabernet Sauvignon) 93%, 시라/쉬라즈 (Syrah/Shiraz) 5%, 쁘띠 베르도 (Petit Verdot) 2%"
170371,"칠라노, 레드 블렌드",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170371.png,레드,1,3,4,4,칠라노 Chilano,칠레(Chile),센트럴밸리(CentralValley),"카베르네 소비뇽 (Cabernet Sauvignon) 85%, 시라/쉬라즈 (Syrah/Shiraz) 15%"
170370,"칠라노, 엔트리 카베르네 소비뇽",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170370.png,레드,1,4,4,4,칠라노 Chilano,칠레(Chile),센트럴밸리(CentralValley),카베르네 소비뇽 (Cabernet Sauvignon)
170369,"인테그랄레, 로제 프리잔테",https://wine21.speedgabia.com/WINE_MST/IMAGE/0170000/T0170369_001.png,스파클링,1,3,2,2,인테그랄레 Integrale,이탈리아(Italy),베네토(Veneto),"라보소 (Raboso) , 마르제미노 (Marzemino) , 투르체타 (Turchetta) , 코르비넬라 (Corbinella)"
170368,"인테그랄레, 비앙코 프리잔테",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170368.png,스파클링,1,3,1,1,인테그랄레 Integrale,이탈리아(Italy),베네토(Veneto),"글레라 (Glera) , 가르가네가 (Garganega) , 세르프리뇨 (Serprino) , 피넬라 (Pinela)"
170367,"저스틴 지라르당, 부르고뉴 뽀마르",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170367.png,레드,1,3,2,2,저스틴 지라르당 Justin Girardin,프랑스(France),부르고뉴(Bourgogne),피노 누아 (Pinot Noir)
170366,"저스틴 지라드댕, 상트네 1er 크뤼 보르가르",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170366.png,레드,1,3,3,2,저스틴 지라르당 Justin Girardin,프랑스(France),부르고뉴(Bourgogne),피노 누아 (Pinot Noir)
170365,"저스틴 지라르당, 상트네 비에이 비뉴",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170365.png,레드,0,0,0,0,저스틴 지라르당 Justin Girardin,프랑스(France),부르고뉴(Bourgogne),피노 누아 (Pinot Noir)
170364,"저스틴 지라르당, 부르고뉴 피노 누아",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170364.png,레드,1,3,2,2,저스틴 지라르당 Justin Girardin,프랑스(France),부르고뉴(Bourgogne),피노 누아 (Pinot Noir)
170363,"도멘 저스틴 지라르당, 상트네",https://wine21.speedgabia.com/WINE_MST/IMAGE/0170000/T0170363_001.png,화이트,1,3,1,1,저스틴 지라르당 Justin Girardin,프랑스(France),부르고뉴(Bourgogne),샤르도네 (Chardonnay) 100%
170362,"저스틴 지라르당, 부르고뉴 샤도네이",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170362.png,화이트,1,3,1,1,저스틴 지라르당 Justin Girardin,프랑스(France),부르고뉴(Bourgogne),샤르도네 (Chardonnay)
170361,"비냐 마티, 챠카 샤도네이",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170361.png,화이트,1,3,2,1,비냐 마티 Vina Marty,칠레(Chile),센트럴밸리(CentralValley),샤르도네 (Chardonnay)
170360,"비냐 마티, 챠카 메를로",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170360.png,레드,1,3,4,4,비냐 마티 Vina Marty,칠레(Chile),센트럴밸리(CentralValley),메를로 (Merlot)
170359,"비냐 마티, 챠카 카베르네 소비뇽",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170359.png,레드,1,3,4,4,비냐 마티 Vina Marty,칠레(Chile),센트럴밸리(CentralValley),카베르네 소비뇽 (Cabernet Sauvignon)
170358,"비냐 마티, 파샤 소비뇽 블랑",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170358.png,화이트,1,4,2,1,비냐 마티 Vina Marty,칠레(Chile),센트럴밸리(CentralValley),소비뇽 블랑 (Sauvignon Blanc)
170357,"비냐 마티, 파샤 메를로",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170357.png,레드,1,3,4,4,비냐 마티 Vina Marty,칠레(Chile),센트럴밸리(CentralValley),메를로 (Merlot)
170356,"비냐 마티, 파샤 카베르네 소비뇽",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170356.png,레드,1,4,4,4,비냐 마티 Vina Marty,칠레(Chile),센트럴밸리(CentralValley),카베르네 소비뇽 (Cabernet Sauvignon)
170355,"비냐 마티, 마리포사 알레그레 그랑 리제르바 카르메네르",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170355.png,레드,1,4,4,4,비냐 마티 Vina Marty,칠레(Chile),센트럴밸리(CentralValley),카르메네르 (Carmenere)
170354,"비냐 마티, 마리포사 알레그레 그랑 리제르바 카베르네 소비뇽",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170354.png,레드,1,3,3,3,비냐 마티 Vina Marty,칠레(Chile),라펠밸리(RapelValley),카베르네 소비뇽 (Cabernet Sauvignon)
170353,"비냐 마티, 코라존 델 인디오",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170353.png,레드,1,3,4,3,비냐 마티 Vina Marty,칠레(Chile),센트럴밸리(CentralValley),"카르메네르 (Carmenere) 40%, 카베르네 소비뇽 (Cabernet Sauvignon) 35%, 시라/쉬라즈 (Syrah/Shiraz) 20%, 카베르네 프랑 (Cabernet Franc) 5%"
170352,"비냐 마티, 카락",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170352.png,레드,1,4,4,4,비냐 마티 Vina Marty,칠레(Chile),센트럴밸리(CentralValley),"카르메네르 (Carmenere) 41%, 카베르네 소비뇽 (Cabernet Sauvignon) 30%, 시라/쉬라즈 (Syrah/Shiraz) 28%, 카베르네 프랑 (Cabernet Franc) 1%"
170351,"비냐 마티, 씨어 메를로",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170351.png,레드,0,0,0,0,비냐 마티 Vina Marty,칠레(Chile),센트럴밸리(CentralValley),메를로 (Merlot)
170350,"비냐 마티, 씨어 카르메네르",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170350.png,레드,1,3,4,3,비냐 마티 Vina Marty,칠레(Chile),센트럴밸리(CentralValley),카르메네르 (Carmenere)
170349,"비탸 마티, 씨어 카베르네 소비뇽",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170349.png,레드,1,4,4,4,비냐 마티 Vina Marty,칠레(Chile),센트럴밸리(CentralValley),카베르네 소비뇽 (Cabernet Sauvignon)
170348,"비냐 마티, 끌로 드 파",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170348.png,레드,1,4,4,4,비냐 마티 Vina Marty,칠레(Chile),센트럴밸리(CentralValley),"카베르네 소비뇽 (Cabernet Sauvignon) 85%, 시라/쉬라즈 (Syrah/Shiraz) 10%, 메를로 (Merlot) 5%"
170347,"보데가스 넬레만, 보발",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170347.png,레드,1,3,3,3,보데가스 넬레만 Bodegas Neleman,스페인(Spain),발렌시아(Valencia),보발 (Bobal)
170346,"보데가스 넬레만, 시그니쳐 크리안자",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170346.png,레드,1,3,3,3,보데가스 넬레만 Bodegas Neleman,스페인(Spain),발렌시아(Valencia),"모나스트렐 (Monastrell) 80%, 템프라니요 (Tempranillo) 20%"
170345,"보데가스 넬레만, 뉴클리 틴토",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170345.png,레드,1,3,3,3,보데가스 넬레만 Bodegas Neleman,스페인(Spain),발렌시아(Valencia),"템프라니요 (Tempranillo) , 보발 (Bobal)"
170344,"보데가스 넬레만, 비오그니어 버딜",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170344.png,화이트,1,3,1,1,보데가스 넬레만 Bodegas Neleman,스페인(Spain),발렌시아(Valencia),"비오니에 (Viognier) 40%, 베르딜 (Verdil) 60%"
170343,"보데가스 넬레만, 올 데이 롱 템프라니요",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170343.png,레드,1,3,3,3,보데가스 넬레만 Bodegas Neleman,스페인(Spain),발렌시아(Valencia),템프라니요 (Tempranillo) 100%
170342,"로드니 스트롱, 업샷",https://wine21.speedgabia.com/no_image2.jpg,레드,1,3,4,4,로드니 스트롱 Rodney Strong,미국(U.S.A),캘리포니아(California),"진판델 (Zinfandel) 37%, 메를로 (Merlot) 34%, 말벡 (Malbec) 20%, 쁘띠 베르도 (Petit Verdot) 5%, 리슬링 (Riesling) 4%"
170341,"로드니 스트롱, 리제르바 카베르네 소비뇽",https://wine21.speedgabia.com/no_image2.jpg,레드,1,4,4,4,로드니 스트롱 Rodney Strong,미국(U.S.A),캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) 100%
170340,"로드니 스트롱, 올드 바인즈 진판델",https://wine21.speedgabia.com/no_image2.jpg,레드,1,4,5,5,로드니 스트롱 Rodney Strong,미국(U.S.A),캘리포니아(California),"진판델 (Zinfandel) 96%, 쁘띠 쉬라 (Petit Syrah) 3%, 투리가 나시오날 (Touriga Nacional) 1%"
170339,마나데로 가르나차,https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170339.png,레드,1,3,3,3,보데가스 산 발레로 Bodegas San Valero,스페인(Spain),까리레나(Carinena),가르나차 (Garnacha)
170339,마나데로 가르나차,https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170339.png,레드,1,3,3,3,보데가스 산 발레로 Bodegas San Valero,스페인(Spain),까리레나(Carinena),가르나차 (Garnacha)
170338,"복, 퀴베",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170338.png,레드,1,3,4,4,복 Bock,헝가리(Hungary),,"카베르네 프랑 (Cabernet Franc) 30%, 카베르네 소비뇽 (Cabernet Sauvignon) 60%, 메를로 (Merlot) 10%"
170337,"복, 빌라니 프랑",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170337.png,레드,1,4,5,5,복 Bock,헝가리(Hungary),,카베르네 프랑 (Cabernet Franc)
170336,"복, 로얄 퀴베",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170336.png,레드,1,4,4,4,복 Bock,헝가리(Hungary),,"카베르네 소비뇽 (Cabernet Sauvignon) , 카베르네 프랑 (Cabernet Franc) , 메를로 (Merlot) , 피노 누아 (Pinot Noir)"
170334,"페마르, 에피쿠로 몬테풀치아노 다부르쪼",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170334.png,레드,1,3,3,3,페마르 Femar,이탈리아(Italy),,몬테풀치아노 (Montepulciano)
170333,"페마르, 그랑 아파소 콜레지오네",https://wine21.speedgabia.com/WINE_MST/IMAGE/0170000/T0170333_001.png,레드,1,4,4,4,페마르 Femar,이탈리아(Italy),,프리미티보 (Primitivo)
170332,"페마르, 그랑 아파소 로제",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170332.png,로제,1,3,2,2,페마르 Femar,이탈리아(Italy),,프리미티보 (Primitivo)
170331,"페마르, 에피쿠로 샤도네이 피아노",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170331.png,화이트,1,3,1,1,페마르 Femar,이탈리아(Italy),,"샤르도네 (Chardonnay) , 피아노 (Fiano)"
170330,"페마르, 에피쿠로 진판델",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170330.png,레드,1,4,4,4,페마르 Femar,이탈리아(Italy),,진판델 (Zinfandel)
170329,"페마르, 그랑 아파소 아파시테",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170329.png,레드,1,3,3,3,페마르 Femar,이탈리아(Italy),,블랜드 (Blend )
170328,K1 그뤼너 벨트리너,https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170328.png,화이트,1,3,1,1,와인즈 바이 죠프 하디 Wines by Geoff Hardy,호주(Australia),,그뤼너 벨트리너 (Gruner Veltliner)
170327,K1 쉬라즈,https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170327.png,레드,1,3,4,3,와인즈 바이 죠프 하디 Wines by Geoff Hardy,호주(Australia),,시라/쉬라즈 (Syrah/Shiraz)
170326,"파이크, 트레디셔날 리슬링",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170326.png,화이트,1,3,1,1,파이크 Pikes,호주(Australia),사우스오스트레일리아(SouthAustralia),리슬링 (Riesling)
170325,보르고데이 프리미티보 디 만두리아,https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170325.png,레드,1,4,4,4,오리온 와인즈 Orion Wines,이탈리아(Italy),뿔리아(Puglia),프리미티보 (Primitivo)
170324,"오프리, 루비 포트",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170324.png,주정강화,3,3,2,1,오프리 Offley,포르투갈(Portugal),포르토(Porto),"틴타 아마렐라 (Tinta Amarela) , 틴타 로리즈 (Tinta Roriz) , 틴토 까오 (Tinto Cao) , 틴타 프란카 (Tinta Franca)"
170323,"메종 카스텔, 로제 당주",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170323.png,로제,1,3,2,2,메종 카스텔 Maison Castel,프랑스(France),루아르(Loire),"메를로 (Merlot) , 소비뇽 블랑 (Sauvignon Blanc) , 카베르네 프랑 (Cabernet Franc) , 말벡 (Malbec)"
170322,"메종 카스텔, 보르도 루즈",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170322.png,레드,1,3,4,4,메종 카스텔 Maison Castel,프랑스(France),보르도(Bordeaux),"카베르네 소비뇽 (Cabernet Sauvignon) , 카베르네 프랑 (Cabernet Franc) , 메를로 (Merlot)"
170321,"메종 카스텔, 퀴베 블랑쉬 브뤼",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170321.png,스파클링,1,4,1,1,메종 카스텔 Maison Castel,프랑스(France),부르고뉴(Bourgogne),샤르도네 (Chardonnay)
170320,"제이콥스 크릭, 더블 배럴 샤도네이",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170320.png,화이트,1,3,2,1,제이콥스 크릭 Jacob's Creek,호주(Australia),,샤르도네 (Chardonnay)
170319,"제이콥스 크릭, 더블 배럴 쉬라즈",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170319.png,레드,1,3,3,3,제이콥스 크릭 Jacob's Creek,호주(Australia),,시라/쉬라즈 (Syrah/Shiraz)
170318,"포울스, LWHTL 샤도네이",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170318.png,화이트,1,3,2,1,포울스 Fowles,호주(Australia),빅토리아(Victoria),샤르도네 (Chardonnay)
170317,"포울스, LWHTL 피노 누아",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170317.png,레드,1,3,3,2,포울스 Fowles,호주(Australia),빅토리아(Victoria),피노 누아 (Pinot Noir)
170316,"풍크툼, 포메라도 오렌지",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170316.png,화이트,1,4,2,2,풍크툼 바이오다이나믹 패밀리 빈야즈 Punctum Biodynamic Family Vineyards,스페인(Spain),카스티야-라만차(Castilla–LaMancha),"샤르도네 (Chardonnay) , 비우라 (Viura) , 소비뇽 블랑 (Sauvignon Blanc)"
170315,"카비로, 로마냐 산지오베제 수페리오레 리제르바",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170315.png,레드,1,3,3,3,까비로 Caviro sca-Forli,이탈리아(Italy),에밀리아로마냐(Emilia-Romagna),"산지오베제 (Sangiovese) , 시라/쉬라즈 (Syrah/Shiraz)"
170314,"파미 아르보, 온 아펠 네그레트 로제",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170314.png,로제,1,3,2,2,파미 아르보 Famille Arbeau,프랑스(France),사우스웨스트프랑스(SouthwestFrance),네그레트 (Negrette) 100%
170313,"샤또 몽 레동, 샤토뇌프 뒤 파프 르 플라토",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170313.png,레드,1,3,3,3,샤또 몽레동 Chateau Mont-Redon,프랑스(France),론(Rhone),"그르나슈 (Grenache) 60%, 시라/쉬라즈 (Syrah/Shiraz) 40%"
170312,"샤또 몽 레동, 샤토뇌프 뒤 파프 루즈",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170312.png,레드,1,3,3,3,샤또 몽레동 Chateau Mont-Redon,프랑스(France),론(Rhone),"그르나슈 (Grenache) 60%, 시라/쉬라즈 (Syrah/Shiraz) 30%, 무르베드르 (Mourvedre) 8.5%, 기타 품종 (Other Grapes) 1.5%"
170311,"샤또 몽 레동, 샤토뇌프 뒤 파프 블랑",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170311.png,화이트,1,3,1,1,샤또 몽레동 Chateau Mont-Redon,프랑스(France),론(Rhone),"그르나슈 (Grenache) 55%, 클레렛 (Clairette) 20%, 기타 품종 (Other Grapes) 25%"
170310,"샤또 몽 레동, 코트 뒤 론 리저브 루즈",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170310.png,레드,1,3,4,3,샤또 몽레동 Chateau Mont-Redon,프랑스(France),론(Rhone),"그르나슈 (Grenache) 80%, 시라/쉬라즈 (Syrah/Shiraz) 20%"
170309,"샤또 몽 레동, 코트 뒤 론 리저브 블랑",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170309.png,화이트,1,3,1,1,샤또 몽레동 Chateau Mont-Redon,프랑스(France),론(Rhone),"그르나슈 (Grenache) 70%, 클레렛 (Clairette) 20%, 비오니에 (Viognier) 10%"
170308,팔콘헤드 말보로 피노 누아,https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170308.png,레드,1,2,3,3,리브렛 앤 밀스 리프 와이너리 Leveret & Mills Reef Winery,뉴질랜드(NewZealand),사우스아일랜드(SouthIsland),"피노 누아 (Pinot Noir) , 메를로 (Merlot)"
170307,팔콘헤드 말보로 소비뇽 블랑,https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170307.png,화이트,1,3,1,1,리브렛 앤 밀스 리프 와이너리 Leveret & Mills Reef Winery,뉴질랜드(NewZealand),노스아일랜드(NorthIsland),"소비뇽 블랑 (Sauvignon Blanc) , 비오니에 (Viognier)"
170306,"슈와더러 와인즈, 샤도네이",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170306.png,화이트,1,3,1,1,슈와더러 와인즈 Schwaderer Wines,칠레(Chile),서던리젼(SouthernRegion),샤르도네 (Chardonnay) 100%
170305,팔콘헤드 혹스베이 비오니에,https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170305.png,화이트,1,2,2,1,리브렛 앤 밀스 리프 와이너리 Leveret & Mills Reef Winery,뉴질랜드(NewZealand),노스아일랜드(NorthIsland),"비오니에 (Viognier) , 게뷔르츠트라미너 (Gewurztraminer)"
170304,팔콘헤드 혹스베이 피노 그리,https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170304.png,화이트,1,3,1,1,리브렛 앤 밀스 리프 와이너리 Leveret & Mills Reef Winery,뉴질랜드(NewZealand),노스아일랜드(NorthIsland),"피노 그리 (Pinot Gris) , 비오니에 (Viognier) , 게뷔르츠트라미너 (Gewurztraminer)"
170303,"인비나 와이너리, 포르 핀",https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170303.png,레드,1,4,4,4,인비나 와이너리 Invina Winry,칠레(Chile),마울레밸리(MauleValley),"시라/쉬라즈 (Syrah/Shiraz) , 말벡 (Malbec) , 카르메네르 (Carmenere) , 쁘띠 베르도 (Petit Verdot)"
170302,시에라 바투코 쁘띠 바투코 카베르네 소비뇽,https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170302.png,레드,1,4,4,4,인비나 와이너리 Invina Winry,칠레(Chile),마울레밸리(MauleValley),카베르네 소비뇽 (Cabernet Sauvignon)
170301,시에라 바투코 쁘띠 바투코 소비뇽 블랑,https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170301.png,화이트,1,4,2,1,인비나 와이너리 Invina Winry,칠레(Chile),마울레밸리(MauleValley),소비뇽 블랑 (Sauvignon Blanc)
170300,시에라 바투코 버라이탈 카베르네 소비뇽,https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170300.png,레드,1,3,4,4,인비나 와이너리 Invina Winry,칠레(Chile),마울레밸리(MauleValley),카베르네 소비뇽 (Cabernet Sauvignon) 100%
170299,시에라 바투코 버라이탈 소비뇽 블랑,https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170299.png,화이트,1,4,2,1,인비나 와이너리 Invina Winry,칠레(Chile),마울레밸리(MauleValley),소비뇽 블랑 (Sauvignon Blanc) 100%
170298,시에라 바투코 리제르바 카베르네 소비뇽,https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170298.png,레드,1,4,4,4,인비나 와이너리 Invina Winry,칠레(Chile),마울레밸리(MauleValley),카베르네 소비뇽 (Cabernet Sauvignon) 100%
170297,시에라 바투코 레제르바 소비뇽 블랑,https://wine21.speedgabia.com/WINE_MST/IMAGE/0170000/T0170297_001.png,화이트,1,4,2,1,인비나 와이너리 Invina Winry,칠레(Chile),마울레밸리(MauleValley),소비뇽 블랑 (Sauvignon Blanc) 100%
170296,시에라 바투코 레제르바 샤도네이,https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170296.png,화이트,1,3,2,1,인비나 와이너리 Invina Winry,칠레(Chile),마울레밸리(MauleValley),샤르도네 (Chardonnay) 100%
170295,루마 체켄 그랑 레제르바 카베르네 소비뇽,https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170295.png,레드,1,4,4,4,인비나 와이너리 Invina Winry,칠레(Chile),마울레밸리(MauleValley),카베르네 소비뇽 (Cabernet Sauvignon)
170294,루마 체켄 그랑 리제르바 레드 블렌드,https://wine21.speedgabia.com/WINE_MST/TITLE/0170000/W0170294.png,레드,1,4,4,4,인비나 와이너리 Invina Winry,칠레(Chile),마울레밸리(MauleValley),"카베르네 소비뇽 (Cabernet Sauvignon) 50%, 시라/쉬라즈 (Syrah/Shiraz) 30%, 쁘띠 베르도 (Petit Verdot) 20%"
